airport_icao,le_ident,he_ident,length_ft,length_m,width_ft,width_m,surface,lighted,closed,le_latitude,le_longitude,le_elevation_ft,le_heading_deg,le_displaced_threshold_ft,le_displaced_threshold_m,he_latitude,he_longitude,he_elevation_ft,he_heading_deg,he_displaced_threshold_ft,he_displaced_threshold_m,centerline_bearing_deg
01FD,H1,,110,33.5,110,33.5,concrete,false,false,,,,,0,0,,,,,0,0,
01FL,18,36,3000,914.4,75,22.9,turf,true,false,,,,,0,0,,,,,0,0,
01GA,H1,,65,19.8,65,19.8,concrete,false,false,,,,,0,0,,,,,0,0,
01GE,10,28,2560,780.3,50,15.2,turf,false,false,,,,,0,0,,,,,0,0,
01ID,14,32,3400,1036.3,100,30.5,turf,false,false,42.611,-112.035,,,0,0,42.604,-112.031,,,0,0,157.2
01IL,H1,,416,126.8,216,65.8,turf,false,false,,,,,0,0,,,,,0,0,
01IN,H1,,45,13.7,45,13.7,asphalt,false,false,,,,,0,0,,,,,0,0,
01IS,09,27,1300,396.2,100,30.5,turf,false,false,,,,,0,0,,,,,0,0,
01J,18,36,3600,1097.3,125,38.1,turf,true,false,30.691,-81.906,59,,795,242.3,30.682,-81.905,59,,0,0,174.5
01K,17,35,2460,749.8,110,33.5,turf,true,false,,,1157,,0,0,,,,,0,0,
01KS,18,36,2400,731.5,100,30.5,turf,false,false,,,,,0,0,,,,,0,0,
01KY,H1,,40,12.2,40,12.2,concrete,false,false,,,,,0,0,,,,,0,0,
01LA,09,27,2000,609.6,60,18.3,turf,false,false,,,,,0,0,,,,,0,0,
01LL,02,20,1600,487.7,70,21.3,turf,false,false,,,,,0,0,,,,,0,0,
01LS,09,27,1800,548.6,150,45.7,turf,false,false,30.723,-91.08,,92.2,0,0,30.722,-91.075,,,0,0,103.1
01MA,H1,,32,9.8,32,9.8,turf,false,false,,,,,0,0,,,,,0,0,
01MD,16,34,3500,1066.8,100,30.5,water,false,false,,,,,0,0,,,,,0,0,
01ME,02,20,5000,1524,500,152.4,water,false,false,,,,,0,0,,,,,0,0,
01ME,15,33,5000,1524,500,152.4,water,false,false,,,,,0,0,,,,,0,0,
01MI,H1,,50,15.2,50,15.2,concrete,false,false,,,,,0,0,,,,,0,0,
01MN,E,W,10000,3048,600,182.9,water,false,false,,,,,0,0,,,,,0,0,
01MN,NW,SE,10000,3048,600,182.9,water,false,false,,,,,0,0,,,,,0,0,
01MO,H1,,37,11.3,37,11.3,concrete,false,false,,,,,0,0,,,,,0,0,
01MT,13,31,5000,1524,70,21.3,asphalt,false,false,48.795,-114.886,,148,0,0,48.783,-114.875,,,150,45.7,148.9
01MU,H1,,54,16.5,54,16.5,concrete,false,false,,,,,0,0,,,,,0,0,
01NC,03,21,3200,975.4,75,22.9,turf,true,false,,,,,0,0,,,,,0,0,
01NC,18,36,2000,609.6,75,22.9,asphalt,false,false,,,,,0,0,,,,,0,0,
01NH,17,35,600,182.9,100,30.5,turf,false,false,,,,,0,0,,,,,0,0,
01NJ,H1,,125,38.1,80,24.4,asphalt,false,false,,,,,0,0,,,,,0,0,
01NM,02,20,2700,823,70,21.3,dirt,false,false,,,,,0,0,,,,,0,0,
01NM,9,27,2000,609.6,70,21.3,dirt,false,false,,,,,0,0,,,,,0,0,
01NR,H1,,50,15.2,50,15.2,turf,false,false,,,,,0,0,,,,,0,0,
01NV,18,36,2000,609.6,60,18.3,gravel,false,false,,,,,0,0,,,,,0,0,
01NY,H1,,100,30.5,75,22.9,asphalt,false,false,,,,,0,0,,,,,0,0,
01OH,H1,,100,30.5,100,30.5,concrete,true,false,,,,,0,0,,,,,0,0,
01OI,H1,,30,9.1,30,9.1,concrete,false,false,,,,,0,0,,,,,0,0,
01OL,5,23,1600,487.7,75,22.9,turf,false,false,34.361,-96.736,1058,50,0,0,34.393,-96.689,1043,230,0,0,50.5
01PN,06,24,1700,518.2,100,30.5,turf,false,false,,,,,0,0,,,,,0,0,
01PS,03,21,1200,365.8,120,36.6,turf,false,false,,,,,0,0,,,,,0,0,
01SC,18,36,2580,786.4,118,36,turf,true,false,,,,,0,0,,,,,0,0,
01TA,H1,,30,9.1,30,9.1,concrete,false,false,,,,,0,0,,,,,0,0,
01TE,04,22,2433,741.6,55,16.8,turf,false,false,,,,,0,0,,,,,0,0,
01TN,18,36,2700,823,100,30.5,turf,false,false,,,,,0,0,,,,,0,0,
01U,03,21,2700,823,75,22.9,dirt,false,false,,,,,0,0,,,,,0,0,
01U,15,33,3400,1036.3,80,24.4,dirt,false,false,,,,,0,0,,,,,0,0,
01UT,E,W,3200,975.4,40,12.2,dirt,false,false,,,,,0,0,,,,,0,0,
01VA,03,21,1500,457.2,60,18.3,turf,false,false,,,,,0,0,,,,,0,0,
01WA,H1,,36,11,36,11,concrete,false,false,,,,,0,0,,,,,0,0,
01WI,01,19,2300,701,120,36.6,turf,false,false,44.006,-90.391,,9.6,0,0,44.012,-90.389,,,0,0,13.5
01WN,H1,,40,12.2,40,12.2,asphalt,true,false,,,,,0,0,,,,,0,0,
01WT,H1,,28,8.5,28,8.5,concrete,false,false,,,,,0,0,,,,,0,0,
01WY,12,30,4360,1328.9,75,22.9,dirt,false,false,,,,,0,0,,,,,0,0,
01WY,16,34,2600,792.5,65,19.8,dirt,false,false,,,,,0,0,,,,,0,0,
01XA,H1,H1,50,15.2,50,15.2,concrete,true,false,,,,,0,0,,,,,0,0,
01XS,H1,,50,15.2,50,15.2,concrete,false,false,,,,,0,0,,,,,0,0,
02AK,15,33,2200,670.6,45,13.7,gravel,false,false,,,,,0,0,,,,,0,0,
02AL,18,36,2000,609.6,150,45.7,turf,false,false,,,,,0,0,,,,,0,0,
02AN,2,20,1800,548.6,100,30.5,turf,false,false,,,,,0,0,,,,,0,0,
02CA,H1,,55,16.8,55,16.8,pierced steel planking,false,false,,,,,0,0,,,,,0,0,
02CD,15,33,2500,762,100,30.5,concrete,false,false,,,,,0,0,,,,,0,0,
02CL,16,34,3000,914.4,60,18.3,dirt,false,false,,,,,0,0,,,,,0,0,
02CO,17,35,2670,813.8,50,15.2,gravel,false,false,,,,,0,0,,,,,0,0,
02CT,H1,,50,15.2,50,15.2,asphalt,false,false,,,,,0,0,,,,,0,0,
02FA,18,36,3585,1092.7,150,45.7,turf,false,false,,,,,0,0,,,,,0,0,
02FD,1,19,3443,1049.4,150,45.7,turf,false,false,30.948,-86.636,190,,0,0,30.957,-86.635,209,,0,0,5.4
02GA,08,26,1200,365.8,100,30.5,turf,false,false,,,,,0,0,,,,,0,0,
02GA,13,31,1500,457.2,100,30.5,turf,false,false,,,,,0,0,,,,,0,0,
02GE,09,27,3400,1036.3,100,30.5,turf,false,false,,,,,0,0,,,,,0,0,
02HI,H1,,100,30.5,100,30.5,concrete,false,false,,,,,0,0,,,,,0,0,
02IA,H1,,50,15.2,50,15.2,concrete,false,false,,,,,0,0,,,,,0,0,
02ID,NE,SW,2000,609.6,100,30.5,turf,false,false,,,,,0,0,,,,,0,0,
02II,10,28,1100,335.3,100,30.5,turf,false,false,,,,,200,61,,,,,0,0,
02IN,09,27,1020,310.9,150,45.7,turf,false,false,,,,,0,0,,,,,0,0,
02IS,H1,,40,12.2,40,12.2,pierced steel planking,false,false,,,,,0,0,,,,,0,0,
02KS,11,29,1650,502.9,100,30.5,turf,false,false,,,,,0,0,,,,,0,0,
02KS,18,36,1950,594.4,150,45.7,turf,false,false,,,,,0,0,,,,,0,0,
02KY,H1,,100,30.5,100,30.5,concrete,false,false,,,,,0,0,,,,,0,0,
02LA,H1,,20,6.1,20,6.1,concrete,false,false,,,,,0,0,,,,,0,0,
02LS,H1,,24,7.3,24,7.3,concrete,false,false,,,,,0,0,,,,,0,0,
02MA,H1,,50,15.2,50,15.2,asphalt,false,false,,,,,0,0,,,,,0,0,
02MD,9,27,2000,609.6,75,22.9,turf,false,false,,,,,0,0,,,,,0,0,
02ME,14,32,2400,731.5,60,18.3,turf,false,false,,,,,0,0,,,,,0,0,
02MI,09,27,2000,609.6,100,30.5,turf,false,false,,,,,0,0,,,,,0,0,
02MO,08,26,2100,640.1,25,7.6,turf,false,false,,,,,0,0,,,,,0,0,
02MS,12,30,2150,655.3,60,18.3,turf,false,false,,,,,0,0,,,,,0,0,
02NH,18W,36W,3000,914.4,300,91.4,water,false,false,,,,,0,0,,,,,0,0,
02NH,H1,,20,6.1,20,6.1,turf,false,false,,,,,0,0,,,,,0,0,
02NJ,,,,,-1,-0.3,unknown,false,false,,,,,0,0,,,,,0,0,
02NM,8,26,4247,1294.5,30,9.1,dirt,false,false,,,,,0,0,,,,,0,0,
02NR,H1,,50,15.2,50,15.2,turf,false,false,,,,,0,0,,,,,0,0,
02NV,09,27,2200,670.6,50,15.2,turf,false,false,,,,,0,0,,,,,0,0,
02NY,H1,,25,7.6,25,7.6,turf,false,false,,,,,0,0,,,,,0,0,
02OH,09,27,2750,838.2,50,15.2,turf,false,false,,,,,0,0,,,,,0,0,
02OI,E,W,1500,457.2,75,22.9,turf,false,false,,,,,0,0,,,,,0,0,
02OR,E,W,2000,609.6,30,9.1,turf,false,false,,,,,0,0,,,,,0,0,
02P,H1,,100,30.5,100,30.5,turf,true,false,,,,,0,0,,,,,0,0,
02PA,H1,,60,18.3,50,15.2,turf,false,false,,,,,0,0,,,,,0,0,
02PN,H1,,40,12.2,40,12.2,asphalt,false,false,,,,,0,0,,,,,0,0,
02PR,06,24,2000,609.6,50,15.2,turf,false,false,,,,,0,0,,,,,0,0,
02RI,H1,,100,30.5,100,30.5,turf,false,false,,,,,0,0,,,,,0,0,
02SC,04,22,3600,1097.3,150,45.7,turf,false,false,,,,,0,0,,,,,0,0,
02T,02,20,4050,1234.4,60,18.3,dirt,false,false,,,,,0,0,,,,,0,0,
02TA,H1,,32,9.8,32,9.8,concrete,false,false,,,,,0,0,,,,,0,0,
02TE,H1,,40,12.2,40,12.2,concrete,true,false,,,,,0,0,,,,,0,0,
02TN,11,29,1600,487.7,120,36.6,turf,false,false,,,,,0,0,,,,,0,0,
02UT,07,25,4000,1219.2,50,15.2,dirt,false,false,,,,,0,0,,,,,0,0,
02UT,16,34,4000,1219.2,50,15.2,dirt,false,false,,,,,0,0,,,,,0,0,
02VA,18,36,3000,914.4,80,24.4,turf,false,false,,,,,0,0,,,,,500,152.4,
02WA,16,34,2650,807.7,50,15.2,turf,false,false,,,,,0,0,,,,,0,0,
02WI,18,36,2200,670.6,60,18.3,turf,false,false,,,,,800,243.8,,,,,0,0,
02WN,13,31,1500,457.2,30,9.1,dirt,false,false,,,,,0,0,,,,,0,0,
02XA,18,36,1950,594.4,50,15.2,turf,false,false,,,,,0,0,,,,,0,0,
03AK,07,25,1000,304.8,70,21.3,dirt,false,false,,,,,0,0,,,,,0,0,
03AK,N,S,6000,1828.8,500,152.4,water,false,false,,,,,0,0,,,,,0,0,
03AK,NE,SW,2600,792.5,500,152.4,water,false,false,,,,,0,0,,,,,0,0,
03AL,H1,,50,15.2,50,15.2,concrete,true,false,,,,,0,0,,,,,0,0,
03AR,H1,,117,35.7,117,35.7,concrete,true,false,,,,,0,0,,,,,0,0,
03AZ,E,W,3600,1097.3,60,18.3,dirt,true,false,,,,,0,0,,,,,0,0,
03CA,H1,,40,12.2,40,12.2,concrete,true,false,,,,,0,0,,,,,0,0,
03FA,E,W,2000,609.6,200,61,turf,false,false,,,,,0,0,,,,,0,0,
03FL,H1,,50,15.2,40,12.2,concrete,false,false,,,,,0,0,,,,,0,0,
03GA,10,28,1990,606.6,65,19.8,turf,false,false,,,,,0,0,,,,,0,0,
03GA,11,29,1955,595.9,60,18.3,turf,false,false,,,,,0,0,,,,,0,0,
03ID,11,29,1800,548.6,100,30.5,turf,false,false,,,,,0,0,,,,,0,0,
03II,N,S,1000,304.8,200,61,turf,false,false,,,,,0,0,,,,,0,0,
03IL,18,36,2600,792.5,105,32,turf,false,false,,,,,0,0,,,,,0,0,
03IS,H1,,40,12.2,40,12.2,concrete,false,false,,,,,0,0,,,,,0,0,
03KS,H1,,25,7.6,25,7.6,gravel,false,false,,,,,0,0,,,,,0,0,
03KY,03,21,2300,701,80,24.4,turf,false,false,,,,,0,0,,,,,0,0,
03LA,H1,,60,18.3,60,18.3,turf,false,false,,,,,0,0,,,,,0,0,
03LS,H1,,40,12.2,40,12.2,concrete,true,false,,,,,0,0,,,,,0,0,
03M,02,20,3800,1158.2,200,61,water,false,false,,,,,0,0,,,,,0,0,
03MA,12,30,1600,487.7,60,18.3,turf,false,false,,,,,0,0,,,,,0,0,
03MD,H1,,50,15.2,50,15.2,concrete,true,false,,,,,0,0,,,,,0,0,
03ME,18,36,2400,731.5,90,27.4,turf,false,false,,,,,0,0,,,,,0,0,
03MI,H1,,20,6.1,20,6.1,turf,false,false,,,,,0,0,,,,,0,0,
03MN,17,35,1940,591.3,75,22.9,turf,false,false,,,,,0,0,,,,,0,0,
03MS,H1,,60,18.3,60,18.3,concrete,false,false,,,,,0,0,,,,,0,0,
03MU,17,35,2400,731.5,24,7.3,asphalt,true,false,,,,,0,0,,,,,0,0,
03N,7,25,2400,731.5,50,15.2,dirt,false,false,,,,,0,0,,,,,0,0,
03NC,09,27,3000,914.4,40,12.2,asphalt,false,false,,,,,0,0,,,,,0,0,
03ND,17,35,2600,792.5,50,15.2,turf,false,false,,,,,0,0,,,,,0,0,
03NE,01,19,2200,670.6,200,61,turf,false,false,,,,,0,0,,,,,0,0,
03NH,H1,,12,3.7,80,24.4,asphalt,false,false,,,,,0,0,,,,,0,0,
03NV,18,36,3200,975.4,30,9.1,turf,false,false,,,,,0,0,,,,,0,0,
03NY,16,34,2000,609.6,75,22.9,turf,false,false,,,,,0,0,,,,,0,0,
03OH,N,S,2100,640.1,60,18.3,turf,false,false,,,,,0,0,,,,,0,0,
03OH,NE,SW,2200,670.6,60,18.3,turf,false,false,,,,,0,0,,,,,0,0,
03OI,H1,,60,18.3,60,18.3,concrete,false,false,,,,,0,0,,,,,0,0,
03OK,18,36,1200,365.8,50,15.2,turf,false,false,,,,,0,0,,,,,0,0,
03OL,18,36,1900,579.1,30,9.1,turf,false,false,,,1232,,0,0,,,1221,,0,0,
03OR,07,25,2950,899.2,60,18.3,concrete,false,false,,,,,0,0,,,,,0,0,
03PA,H1,,130,39.6,80,24.4,asphalt,false,false,,,,,0,0,,,,,0,0,
03PN,H1,,100,30.5,100,30.5,turf,false,false,,,,,0,0,,,,,0,0,
03PR,9,27,2926,891.8,65,19.8,turf,false,false,,,,,0,0,,,,,0,0,
03S,08,26,2115,644.7,100,30.5,turf,false,false,,,,,0,0,,,,,0,0,
03SC,H1,,40,12.2,40,12.2,concrete,true,false,,,,,0,0,,,,,0,0,
03TE,12,30,3500,1066.8,100,30.5,turf,false,false,,,,,0,0,,,,,0,0,
03TN,H1,,20,6.1,20,6.1,turf,false,false,,,,,0,0,,,,,0,0,
03TS,H1,,90,27.4,90,27.4,asphalt,false,false,,,,,0,0,,,,,0,0,
03TT,18,36,3000,914.4,50,15.2,turf,false,false,,,117,,0,0,,,117,,0,0,
03TX,H1,,150,45.7,150,45.7,turf,false,false,,,,,0,0,,,,,0,0,
03UT,NE,SW,5000,1524,35,10.7,gravel,false,false,,,,,0,0,,,,,0,0,
03UT,NW,SE,3250,990.6,35,10.7,gravel,false,false,,,,,0,0,,,,,0,0,
03WA,18,36,2800,853.4,60,18.3,gravel,false,false,,,,,0,0,,,,,0,0,
03WN,07,25,2200,670.6,60,18.3,gravel,false,false,,,,,0,0,,,,,0,0,
03WY,17,35,2065,629.4,100,30.5,turf,false,false,,,,,0,0,,,,,0,0,
03XA,H1,,54,16.5,54,16.5,concrete,false,false,,,,,0,0,,,,,0,0,
03XS,04,22,3200,975.4,50,15.2,turf,false,false,,,,,0,0,,,,,0,0,
03XS,15,33,1600,487.7,50,15.2,turf,false,false,,,,,0,0,,,,,0,0,
04AA,16,34,1300,396.2,100,30.5,turf,false,false,,,,,0,0,,,,,0,0,
04AA,5,23,825,251.5,68,20.7,turf,false,false,,,,,0,0,,,,,0,0,
04AL,H1,,100,30.5,100,30.5,asphalt,false,false,,,,,0,0,,,,,0,0,
04AR,H1,,40,12.2,40,12.2,asphalt,true,false,,,,,0,0,,,,,0,0,
04CA,8,26,8000,2438.4,150,45.7,asphalt,false,false,34.567,-117.683,,90,0,0,34.567,-117.657,,270,0,0,90
04CL,08,26,1900,579.1,100,30.5,gravel,false,false,33.082,-116.443,,,0,0,33.081,-116.437,,,600,182.9,101.2
04CT,H1,,50,15.2,100,30.5,turf,false,false,,,,,0,0,,,,,0,0,
04FA,09,27,2620,798.6,212,64.6,turf,false,false,,,,,0,0,,,,,0,0,
04FL,09,27,3000,914.4,100,30.5,turf,false,false,,,,,0,0,,,,,0,0,
04GA,H1,,39,11.9,39,11.9,concrete,false,false,,,,,0,0,,,,,0,0,
04I,06,24,2382,726,120,36.6,turf,true,false,39.909,-83.193,920,,0,0,39.913,-83.185,920,,0,0,56.9
04IA,18,36,2310,704.1,84,25.6,turf,false,false,,,,,0,0,,,,,0,0,
04ID,07,25,3000,914.4,25,7.6,dirt,false,false,,,,,0,0,,,,,0,0,
04IL,N,S,1700,518.2,70,21.3,turf,false,false,,,,,0,0,,,,,0,0,
04IN,13W,31W,4000,1219.2,1000,304.8,water,false,false,,,,,0,0,,,,,0,0,
04IS,09,27,2200,670.6,150,45.7,turf,false,false,,,,,400,121.9,,,,,0,0,
04KY,15,33,1700,518.2,30,9.1,asphalt,false,false,,,,,0,0,,,,,0,0,
04LA,H1,,40,12.2,40,12.2,concrete,true,false,,,,,0,0,,,,,0,0,
04LS,H1,,60,18.3,60,18.3,concrete,false,false,,,,,0,0,,,,,0,0,
04MA,16,34,2100,640.1,300,91.4,turf,false,false,,,,,0,0,,,,,0,0,
04MD,H1,,50,15.2,50,15.2,asphalt,true,false,,,,,0,0,,,,,0,0,
04ME,15,33,1950,594.4,120,36.6,turf,false,false,,,,,0,0,,,,,0,0,
04MI,18,36,2000,609.6,100,30.5,turf,false,false,,,,,450,137.2,,,,,225,68.6,
04MN,10,28,2500,762,150,45.7,turf,false,false,,,,,0,0,,,,,0,0,
04MS,17,35,3400,1036.3,100,30.5,asphalt,false,false,32.944,-90.837,,180,0,0,32.935,-90.837,,,0,0,180
04MT,E,W,2100,640.1,100,30.5,turf,false,false,,,,,0,0,,,,,0,0,
04MT,N,S,1900,579.1,100,30.5,turf,false,false,,,,,0,0,,,,,0,0,
04NC,H1,,91,27.7,35,10.7,asphalt,false,false,,,,,0,0,,,,,0,0,
04NE,N,S,2500,762,100,30.5,turf,false,false,,,,,0,0,,,,,0,0,
04NJ,08,26,3500,1066.8,50,15.2,turf,true,false,,,,,600,182.9,,,,,300,91.4,
04NR,H1,,78,23.8,36,11,concrete,false,false,,,,,0,0,,,,,0,0,
04NV,02,20,3240,987.6,45,13.7,asphalt,true,false,35.752,-115.668,,33.5,0,0,35.759,-115.662,,,0,0,34.8
04NY,02,20,5200,1585,50,15.2,turf,false,false,,,,,0,0,,,,,1700,518.2,
04OG,H1,,50,15.2,100,30.5,concrete,false,false,,,,,0,0,,,,,0,0,
04OK,H1,,45,13.7,45,13.7,concrete,false,false,,,,,0,0,,,,,0,0,
04PA,H1,,100,30.5,100,30.5,concrete,false,false,,,,,0,0,,,,,0,0,
04PN,H1,,70,21.3,70,21.3,concrete,false,false,,,,,0,0,,,,,0,0,
04SC,H1,,50,15.2,50,15.2,concrete,false,false,,,,,0,0,,,,,0,0,
04SD,H1,H1,46,14,46,14,concrete,false,false,,,2437,,0,0,,,,,0,0,
04TE,H1,,30,9.1,30,9.1,turf,false,false,,,,,0,0,,,,,0,0,
04TN,01,19,3000,914.4,40,12.2,asphalt,false,false,,,,,0,0,,,,,0,0,
04TS,H1,,20,6.1,20,6.1,turf,false,false,,,,,0,0,,,,,0,0,
04TT,18,36,5134,1564.8,55,16.8,asphalt,false,false,29.72,-99.545,1550,,0,0,29.707,-99.546,1523,,0,0,183.8
04TX,12,30,2000,609.6,75,22.9,turf,false,false,,,,,0,0,,,,,0,0,
04UT,04,22,3700,1127.8,50,15.2,dirt,false,false,,,,,0,0,,,,,0,0,
04V,10,28,7745,2360.7,55,16.8,gravel,false,false,38.104,-106.186,,118,0,0,38.094,-106.163,,298,0,0,118.9
04VA,H1,,50,15.2,50,15.2,concrete,true,false,,,,,0,0,,,,,0,0,
04VG,01,19,3500,1066.8,80,24.4,turf,false,false,,,,,0,0,,,,,0,0,
04VG,11,29,1800,548.6,70,21.3,turf,false,false,,,,,0,0,,,,,0,0,
04VT,06,24,1300,396.2,40,12.2,turf,false,false,,,,,0,0,,,,,0,0,
04W,06,24,2751,838.5,75,22.9,asphalt,true,false,46.021,-92.9,1021,66,190,57.9,46.024,-92.89,1009,246,394,120.1,66.6
04WA,N,S,1800,548.6,60,18.3,turf,false,false,,,,,0,0,,,,,0,0,
04WI,09,27,1800,548.6,100,30.5,turf,false,false,,,,,0,0,,,,,0,0,
04WN,11,29,4100,1249.7,60,18.3,asphalt,false,false,,,,,0,0,,,,336.5,0,0,
04WV,H1,,40,12.2,40,12.2,concrete,false,false,,,,,0,0,,,,,0,0,
05AK,01,19,2000,609.6,100,30.5,turf,false,false,,,,,0,0,,,,,0,0,
05AL,H1,,1600,487.7,50,15.2,asphalt,false,false,,,,,0,0,,,,,0,0,
05AL,H2,,1600,487.7,50,15.2,asphalt,false,false,,,,,0,0,,,,,0,0,
05AL,H3,,1600,487.7,50,15.2,asphalt,false,false,,,,,0,0,,,,,0,0,
05AL,H4,,1600,487.7,50,15.2,asphalt,false,false,,,,,0,0,,,,,0,0,
05AL,H5,,1600,487.7,50,15.2,asphalt,false,false,,,,,0,0,,,,,0,0,
05AL,H6,,1600,487.7,50,15.2,asphalt,false,false,,,,,0,0,,,,,0,0,
05AN,5,23,1250,381,100,30.5,gvl,false,false,,,,,0,0,,,,,0,0,
05AR,06,24,2000,609.6,100,30.5,turf,false,false,,,,,0,0,,,,263,0,0,
05AZ,H1,,40,12.2,40,12.2,concrete,false,false,,,,,0,0,,,,,0,0,
